d_stamp,t_stamp,s9_id,depth,temperature,threshold,const_err
2017-07-26,16:00:00,A00A,59,21.92,,
2017-07-26,16:00:00,A016,5,29,,
2017-07-26,16:00:00,A00C,77,18.61,,
2017-07-26,16:00:00,A00H,32,25.49,,
2017-07-26,16:00:00,A00B,14,28.2,,
2017-07-26,16:30:00,A00E,68,20.85,,
2017-07-26,16:30:00,A00D,50,24.58,,
2017-07-26,16:30:00,A015,23,26.45,,
2017-07-26,16:30:00,A00A,59,21.68,,
2017-07-26,16:30:00,A00H,32,25.52,,
2017-07-26,16:30:00,A00C,77,18.59,,
2017-07-26,16:30:00,A016,5,29.09,,
2017-07-26,16:30:00,A00B,14,28.39,,
2017-07-26,17:00:00,A00E,68,20.91,,
2017-07-26,17:00:00,A00D,50,24.3,,
2017-07-26,17:00:00,A015,23,26.48,,
2017-07-26,17:00:00,A00A,59,21.7,,
2017-07-26,17:00:00,A016,5,29.07,,
2017-07-26,17:00:00,A00C,77,18.44,,
2017-07-26,17:00:00,A00H,32,25.46,,
2017-07-26,17:00:00,A00B,14,28.21,,
2017-07-26,17:30:00,A00E,68,21.01,,
2017-07-26,17:30:00,A00D,50,23.94,,
2017-07-26,17:30:00,A015,23,26.41,,
2017-07-26,17:30:00,A00A,59,21.89,,
2017-07-26,17:30:00,A00H,32,25.4,,
2017-07-26,17:30:00,A00C,77,18.7,,
2017-07-26,17:30:00,A016,5,29.12,,
2017-07-26,17:30:00,A00B,14,28.17,,
2017-07-26,18:00:00,A00E,68,21.17,,
2017-07-26,18:00:00,A00D,50,23.44,,
2017-07-26,18:00:00,A015,23,26.4,,
2017-07-26,18:00:00,A00A,59,21.92,,
2017-07-26,18:00:00,A016,5,29.09,,
2017-07-26,18:00:00,A00C,77,18.8,,
2017-07-26,18:00:00,A00H,32,25.35,,
2017-07-26,18:00:00,A00B,14,28.4,,
2017-07-26,18:30:00,A00E,68,21.28,,
2017-07-26,18:30:00,A00D,50,23.62,,
2017-07-26,18:30:00,A015,23,26.33,,
2017-07-26,18:30:00,A00A,59,21.94,,
2017-07-26,18:30:00,A016,5,29.1,,
2017-07-26,18:30:00,A00C,77,18.98,,
2017-07-26,18:30:00,A00H,32,25.32,,
2017-07-26,18:30:00,A00B,14,28.5,,
2017-07-26,19:00:00,A00E,68,21.35,,
2017-07-26,19:00:00,A00D,50,23.35,,
2017-07-26,19:00:00,A015,23,26.59,,
2017-07-26,19:00:00,A00A,59,21.99,,
2017-07-26,19:00:00,A00H,32,25.28,,
2017-07-26,19:00:00,A00C,77,18.95,,
2017-07-26,19:00:00,A016,5,29.08,,
2017-07-26,19:00:00,A00B,14,28.56,,
2017-07-26,19:30:00,A00E,68,21.14,,
2017-07-26,19:30:00,A00D,50,23.39,,
2017-07-26,19:30:00,A015,23,26.93,,
2017-07-26,19:30:00,A00A,59,22,,
2017-07-26,19:30:00,A016,5,29.1,,
2017-07-26,19:30:00,A00H,32,25.25,,
2017-07-26,19:30:00,A00B,14,28.59,,
2017-07-26,20:00:00,A00E,68,21.08,,
2017-07-26,20:00:00,A00D,50,23.22,,
2017-07-26,20:00:00,A015,23,27.1,,
2017-07-26,20:00:00,A00A,59,22.02,,
2017-07-26,20:00:00,A016,5,29.07,,
2017-07-26,20:00:00,A00H,32,25.21,,
2017-07-26,20:00:00,A00B,14,28.75,,
2017-07-26,20:30:00,A00E,68,21.14,,
2017-07-26,20:30:00,A00D,50,22.77,,
2017-07-26,20:30:00,A015,23,27.05,,
2017-07-26,20:30:00,A00A,59,21.99,,
2017-07-26,20:30:00,A016,5,29.04,,
2017-07-26,20:30:00,A00H,32,25.14,,
2017-07-26,20:30:00,A00B,14,28.78,,
2017-07-26,21:00:00,A00E,68,20.98,,
2017-07-26,21:00:00,A00D,50,22.62,,
2017-07-26,21:00:00,A015,23,27,,
2017-07-26,21:00:00,A00A,59,21.98,,
2017-07-26,21:00:00,A016,5,29.04,,
2017-07-26,21:00:00,A00H,32,25.2,,
2017-07-26,21:00:00,A00B,14,28.81,,
2017-07-26,21:30:00,A00E,68,20.92,,
2017-07-26,21:30:00,A00D,50,22.57,,
2017-07-26,21:30:00,A015,23,26.88,,
2017-07-26,21:30:00,A00A,59,21.92,,
2017-07-26,21:30:00,A016,5,29,,
2017-07-26,21:30:00,A00C,77,19.53,,
2017-07-26,21:30:00,A00H,32,25.09,,
2017-07-26,21:30:00,A00B,14,28.81,,
2017-07-26,22:00:00,A00E,68,20.82,,
2017-07-26,22:00:00,A00D,50,22.59,,
2017-07-26,22:00:00,A015,23,26.78,,
2017-07-26,22:00:00,A00A,59,21.96,,
2017-07-26,22:00:00,A00H,32,25.05,,
2017-07-26,22:00:00,A016,5,28.98,,
2017-07-26,22:00:00,A00B,14,28.81,,
2017-07-26,22:30:00,A00E,68,20.74,,
2017-07-26,22:30:00,A00D,50,22.59,,
2017-07-26,22:30:00,A015,23,26.76,,
